aez_code,aez_zone,moisture_regime,thermal_belt,alt_min_m,alt_max_m,alt_mid_m,temp_min_c,temp_max_c,temp_mid_c,rain_min_mm,rain_max_mm,rain_mid_mm,lgp_min_days,lgp_max_days,lgp_mid_days,moisture_code,thermal_code
1,Dry Berha,Dry,Berha,0,500,250.0,27.5,35.0,31.25,300,900,600.0,0,60,30.0,1,1
2,Moist Berha,Moist,Berha,0,500,250.0,27.5,35.0,31.25,900,1400,1150.0,60,180,120.0,2,1
3,Dry Kolla,Dry,Kolla,500,1500,1000.0,25.0,30.0,27.5,300,900,600.0,0,60,30.0,1,2
4,Moist Kolla,Moist,Kolla,500,1500,1000.0,25.0,30.0,27.5,900,1400,1150.0,60,180,120.0,2,2
5,Wet Kolla,Wet,Kolla,500,1500,1000.0,25.0,30.0,27.5,1400,2200,1800.0,180,300,240.0,3,2
6,Dry Weyna Dega,Dry,Weyna Dega,1500,2300,1900.0,18.0,25.0,21.5,300,900,600.0,0,60,30.0,1,3
7,Moist Weyna Dega,Moist,Weyna Dega,1500,2300,1900.0,18.0,25.0,21.5,900,1400,1150.0,60,180,120.0,2,3
8,Wet Weyna Dega,Wet,Weyna Dega,1500,2300,1900.0,18.0,25.0,21.5,1400,2200,1800.0,180,300,240.0,3,3
9,Dry Dega,Dry,Dega,2300,3200,2750.0,12.0,18.0,15.0,300,900,600.0,0,60,30.0,1,4
10,Moist Dega,Moist,Dega,2300,3200,2750.0,12.0,18.0,15.0,900,1400,1150.0,60,180,120.0,2,4
11,Wet Dega,Wet,Dega,2300,3200,2750.0,12.0,18.0,15.0,1400,2200,1800.0,180,300,240.0,3,4
12,Moist High Dega,Moist,High Dega,3200,3700,3450.0,7.5,12.0,9.75,900,1400,1150.0,60,180,120.0,2,5
13,Wet High Dega,Wet,High Dega,3200,3700,3450.0,7.5,12.0,9.75,1400,2200,1800.0,180,300,240.0,3,5
14,Moist Wurch,Moist,Wurch,3700,4500,4100.0,3.0,7.5,5.25,900,1400,1150.0,60,180,120.0,2,6
15,Wet Wurch,Wet,Wurch,3700,4500,4100.0,3.0,7.5,5.25,1400,2200,1800.0,180,300,240.0,3,6
