OBJECTID,Agro_zone,moisture_regime,thermal_belt,area_ha_attribute,area_ha_computed,area_km2,pct_of_country,perimeter_km,n_rings,n_outer_rings,centroid_utm_x,centroid_utm_y,centroid_lon,centroid_lat,bbox_lon_min,bbox_lat_min,bbox_lon_max,bbox_lat_max
1,Dry Berha,Dry,Berha,14435122.37,14435122.37,144351.22,12.72,10993.0,65,42,885643.6,863635.2,42.49571,7.79864,34.19734,3.93603,47.70135,14.39991
2,Moist Berha,Moist,Berha,1685200.0,1685200.0,16852.0,1.48,1206.0,5,3,-57705.1,880894.6,33.94623,7.93843,33.01969,6.94265,34.85015,8.77582
3,Dry Kolla,Dry,Kolla,46539107.84,46539107.84,465391.08,41.01,29298.8,191,129,699464.9,903941.3,40.81052,8.17363,34.245,3.41339,48.14585,14.71698
4,Moist Kolla,Moist,Kolla,10395582.64,10395582.64,103955.83,9.16,20196.8,190,139,254453.0,1017996.7,36.76529,9.20241,34.15391,5.07162,41.69296,13.75804
5,Wet Kolla,Wet,Kolla,1379400.0,1379400.0,13794.0,1.22,4292.0,44,41,139793.4,984796.3,35.72548,8.89464,34.49634,6.14735,37.36059,11.53453
6,Dry Weyna Dega,Dry,Weyna Dega,7344656.71,7344656.71,73446.57,6.47,14284.5,154,119,588914.0,1153059.6,39.81236,10.42991,36.75077,3.84746,43.76092,14.63446
7,Moist Weyna Dega,Moist,Weyna Dega,13095500.0,13095500.0,130955.0,11.54,31790.0,619,547,443903.5,1003238.4,38.48953,9.0755,34.18239,4.86449,42.68161,13.77232
8,Wet Weyna Dega,Wet,Weyna Dega,8776100.0,8776100.0,87761.0,7.73,15802.0,320,288,211126.3,985348.8,36.37339,8.90477,34.30362,5.48748,39.86551,12.02616
9,Dry Dega,Dry,Dega,925300.0,925300.0,9253.0,0.82,2868.0,43,40,540777.5,1354101.9,39.37494,12.24887,37.6176,6.73432,39.82823,14.58506
10,Moist Dega,Moist,Dega,4886500.0,4886500.0,48865.0,4.31,14018.0,233,214,490139.5,994711.6,38.91029,8.99872,36.60999,5.54638,42.43775,13.51405
11,Wet Dega,Wet,Dega,3295800.0,3295800.0,32958.0,2.9,8652.0,88,77,391776.0,1050143.4,38.01403,9.49872,34.73549,5.50877,39.85664,12.12566
12,Moist High Dega,Moist,High Dega,476800.0,476800.0,4768.0,0.42,2230.0,36,28,525160.8,1074240.4,39.22938,9.71798,38.09713,6.70831,40.00863,13.38193
13,Wet High Dega,Wet,High Dega,135100.0,135100.0,1351.0,0.12,808.0,21,18,468946.0,1147594.0,38.71631,10.38138,37.70789,6.79787,39.96207,13.28266
14,Moist Wurch,Moist,Wurch,104200.0,104200.0,1042.0,0.09,508.0,12,12,540728.2,952359.0,39.37016,8.61546,38.15137,6.73554,39.96235,13.35499
15,Wet Wurch,Wet,Wurch,14400.0,14400.0,144.0,0.01,128.0,5,5,436837.8,1199810.4,38.42212,10.85322,37.83193,7.81112,39.44509,13.27504
