parameter,value
dataset,soil_wrb1
format,ESRI ArcInfo Binary Grid (ADF)
data_type,integer
likely_content,WRB soil classification codes (World Reference Base)
crs,"Geographic, WGS84 (degrees)"
xmin_lon,32.999939
ymin_lat,3.322099001851999
xmax_lon,47.985355664269
ymax_lat,14.899182333333
cell_size_deg,0.002083333333
cell_size_approx_m,231.9
n_cols,7193
n_rows,5557
value_min,0.0
value_max,254.0
coverage,Ethiopia
files_present,"dblbnd.adf, hdr.adf, sta.adf"
files_missing,"w001001.adf (pixel data), w001001x.adf (tile index), vat.adf (value/class table), prj.adf, info/ directory"
note,Pixel values (soil classes per cell) cannot be extracted: the raster data file w001001.adf is missing from the folder. Only header/bounds/statistics were recoverable.
