era_code,doi,author,journal,n_rows_raw
AC0019,10.1016/j.tfp.2022.100245,Etafa,"TREES, FOR PEOPLE",24
AC0030.1,10.1017/S0014479718000297,Ndoli,EXP AGR,40
AC0043,10.1371/journal.pone.0257203,Bitew,PLOS ONE,12
AC0048,10.1016/j.geoderma.2021.115523,Fenta,GEODERMA,66
AC0056,10.1016/j.agee.2018.09.012,Kebede,AGR ECOSYST ENVIRON,45
AC0058,10.1016/j.heliyon.2021.e06074,Eijgu,HELIYON,108
AC0067,10.3390/agronomy11010017,Assefa,AGRON,11
AC0164,10.1515/opag-2021-0048,Hunegnaw,OPEN AGRIC,254
AC0173,10.3390/w11102103,Belay,WATER,2
AG0003,10.1016/j.iswcr.2018.06.001,Erkossa,INT SOIL WATER CONSERV RES,646
AG0005,10.3923/ja.2015.152.157,Endris,Journal of Agronomy,20
AG0011,10.3923/je.2014.225.237,Fite,Journal of Entomology,24
AG0016,10.4314/mejs.v10i1.9,Gebremeskel,Momona Ethiopian Journal of Science,24
AG0020,10.1016/j.iswcr.2017.06.005,Hishe,INT SOIL WATER CONSERV RES,6
AG0037,10.1155/2017/4767509,Teame,International Journal of Agronomy,80
AG0038,10.1515/opag-2018-0055,Shanka,Open Agriculture,3
AG0110,10.1007/s40899-018-0238-4,Gebremariam,Sustainable Water Resources Management,36
AG0113,10.1155/2018/5084056,Hailu,International Journal of Agronomy,72
AG0135,10.3390/land3031137,Dresen,Land,2
AG0137,10.4314/mejs.v10i2.4,Tsegay,Momona Ethiopian Journal of Science,132
AN0028,10.1080/01904167.2016.1262414,Argaw,J PLANT NUTR,40
AN0031,10.1002/ldr.2182,Adimassu,LAND DEGRAD DEV,12
AN0033,10.1155/2017/6827323,Berihun,International Journal of Agronomy,24
AN0037,10.1186/s40066-018-0242-9,Belete,Agriculture and Food Security,46
AN0050,10.3390/agronomy7020042,Zerihun,AGRON J-BASEL,108
AN0057,http://www.lrrd.org/lrrd30/8/desta30149.html,Tekle,Livestock Research for Rural Development,5
AN0065,www.researchgate.net/publication/286125672,Tarekegn,LIVESTOCKÂ RESÂ RURALÂ DEVÂ,6
AN0078,10.1002/ldr.2814,Taye,LAND DEGRAD DEV,45
AN0085,10.1017/S0014479715000125,Sime,EXP AGR,61
AN0091,10.1016/j.agee.2018.01.035,Wolde-meskel,AGR ECOSYST ENVIRON,16
AN0095,10.3923/ajcs.2014.273.280,Yesuf,ASIAN J CROP SCI,37
AN0106,10.1016/j.scienta.2016.05.011,Tabor,SCI HORTIC-AMSTERDAM,24
AN0115,10.1016/j.agwat.2014.10.004,Tesfahunegn,AGR WATER MANAGE,26
AN0116,10.1016/j.agwat.2014.11.014,Tsegay,AGR WATER MANAGE,45
CJ0005,10.2134/agronj2011.0181,Orebo,HELIYON,50
CJ0007,10.1080/03650340.2023.2175352,Tadesse,ARCH ACKER PFL BODEN,80
CJ0011,10.1002/agj2.21143,Yimer,AGRON J,148
CJ0034,10.1515/biol-2022-0537,Dela,OPEN LIFE SCI,60
CJ0053,10.1017/S0014479709990457,Bayisa,AIR SOIL WATER RES,24
CJ0075,10.3390/agronomy13010115,Mupangwa,AGRON J-BASEL,11
CJ0081,10.3390/land11060784,Asaye,LAND,28
CJ0088,10.1080/23311932.2020.1728084,Aleminew,CONGENT FOOD AGRIC,548
CJ0093,10.1002/agg2.20360,Gutema,AGR ECOSYST ENVIRON,150
CJ0105,10.1155/2022/1608499,Keba,ADV AGRIC,12
CJ0108,10.1155/2022/6987871,Temeche,ADV AGRIC,33
CJ0115,10.1007/s40093-018-0198-6,Tadesse,INT J RECYCL ORG WASTE AGRIC,100
CJ0133,10.1080/23311932.2018.1439663,Alemayehu,CONGENT FOOD AGRIC,360
CJ0139,10.1080/23311932.2019.1707038,Gezahegn,CONGENT FOOD AGRIC,40
CJ0144,10.1080/01904167.2020.1771574,Aleminew A.,J PLANT NUTR,140
CJ0148,10.1080/23311932.2020.1724385,Alemayehu,CONGENT FOOD AGRIC,117
CJ0152,10.1007/s00344-022-10741-y,Alemayehu,J PLANT GROWTH REGUL,62
CJ0154,10.1017/S0014479721000296,Kihara,EXP AGR,92
CJ0157,10.2174/1874331501812010194,Tekeste N.,OPEN AGRIC,210
CJ0161,10.1007/s42106-022-00187-3,Alemayehu,INT J PLANT PROD,30
CJ0177,10.1016/j.heliyon.2022.e10433,Keba,HELIYON,9
CJ0178,10.1007/s40011-022-01384-w,Kassa,Proceedings of the National Academy of Sciences India Section B - Biological Sciences,34
CJ0179,10.1155/2019/7804621,Baraki,INT J AGRON,33
CJ0182.1,10.1017/S0014479722000072,Desta G.,EXP AGR,126
CJ0183,10.1016/j.jafr.2022.100400,Mijena,J AGRIC FOOD RES,45
CJ0190,10.3390/W12040947,Yimam A.Y.,WATER,6
CJ0191,10.1155/2022/9031999,Mihiretu,ADV AGRIC,80
CJ0192,10.1007/s12892-019-0080-0,Kassie M.,J CROP SCI BIOTECHNOL,24
CJ0196,10.17930/AGL2022229,Tarekegn,AGROLIFE SCI J,181
CJ0201,10.1080/00103624.2022.2130938,Gelu,COMMUN SOIL SCI PLAN,30
CJ0203,10.1155/2020/8869098,Kassaye,INT J AGRON,30
DK0012,10.1016/j.scitotenv.2016.05.033,Agegnehu,SCI TOTAL ENVIRON,706
DK0014,10.1016/j.still.2016.02.003,Agegnehu,SOIL TILL RES,166
DK0031,10.1016/j.fcr.2018.03.003,Ndoli,FIELD CROP RES,20
DK0039,10.1111/jph.12514,Hirut,J PHYTOPATHOL,54
DK0044,10.1016/j.still.2014.11.009,Araya,SOIL TILL RES,40
DK0045,10.1016/j.agwat.2017.08.009,Grum,AGR WATER MANAGE,30
DK0054,10.1016/j.still.2016.05.011,Araya,SOIL TILL RES,10
DK0055,10.1016/j.agee.2014.06.017,Bedada,AGR ECOSYST ENVIRON,36
DK0056,10.1016/j.agee.2015.11.024,Bedada,AGR ECOSYST ENVIRON,21
DK0057,10.1002/jpln.201600343,Berihun,J PLANT NUTR SOIL SC,54
DK0058,10.1007/s10681-018-2210-7,Beyene,EUPHYTICA,20
DK0086,10.2134/agronj2017.07.0384,Liben,AGRON J,12
DK0088,10.1016/j.jenvman.2017.11.044,Jemberu,J ENVIRON MANAGE,3
DK0096,10.1016/j.agee.2013.08.020,Baudron,AGR ECOSYST ENVIRON,1
DK0113,10.1016/j.catena.2018.05.035,Melaku,CATENA,1
DK0119,10.1016/j.agwat.2017.08.022,Mohamed,AGR WATER MANAGE,1
DK0125,10.1016/j.agwat.2014.01.012,Ambachew,AGR WATER MANAGE,21
